NOMBRE;PRECIO;PANTALLA;DISCO;CPU;MEMORIA;VALORACION
Luqeeg Ordenador Portátil Pantalla Táctil FHD 10,8 Pulgadas, 8GB RAM 512GB ROM, Portátil con Lápiz Táctil Intel CPU con Rotación de 360 Grados, Ordenador Portátil para Windows 11;299;;[];[];8;4.1
"Dell S2421NX - Monitor de 23.8"" Full HD (1920 x 1080, 75 Hz, IPS, 4 ms, AMD FreeSync, bisel fino, 2 HDMI), negro";119;[];[];[];[];4.5
Magix;36,39;23.8;[];[];[];4.7
Dell G15 5511- Ordenador Portátil Gaming de 15.6'' FullHD (Intel Core i5-11260H, 8GB RAM, 512GB SSD, NVIDIA GeForce RTX 3050, Ubuntu Linux) Negro - Teclado retroiluminado QWERTY español;599;15.6;SSD;4.4;8;4.4
"MSI Katana 15 B13VFK-031XES - Ordenador portátil Gaming 15.6"" FHD (1920x1080), 144Hz (i7-13620H, 16GB RAM, 1TB SSD, RTX 4060 8GB, Free Dos) Black - Teclado QWERTY español";1.649,00;15.6;SSD;3.4;[];3.9
"Dell Inspiron 15 3501 - Ordenador portátil de 15.6"" FullHD (Intel Core i5-1035G1, 8GB RAM, 512GB SSD, Intel Graphics, Windows 11 Home) Negro - Teclado QWERTY español";469;15.6;SSD;3.6;8;4.1
Dell Inspiron 15 3000 - Ordenador Portátil de 15.6'' Full HD (Intel Core i3-1115G4, 8 GB RAM, 256 GB SSD, Intel Iris Xe Graphics, Windows 11 Home), Negro - Teclado QWERTY Español;379;15.6;SSD;4.1;8;4.4
"Samsung Galaxy Book2 Pro – Ordenador portátil de 13,3"" FullHD (Intel Evo Core i5-1240P, 16 GB RAM, 512GB HDD, Windows 11 Home Plus) Color Plata - Teclado QWERTY Español";799;13.3;HDD;[];1;4.2
"ASUS ROG Zephyrus G16 GU603VV-N4005 - Ordenador Portátil Gaming de 16"" WQXGA 240Hz (Intel Core i9-13900H, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 4060 8GB, Sin SO) Gris Eclipse - Teclado QWERTY español";2.402,94;16;SSD;0;[];3.2
Razer Blade 15 Advanced model - Ordenador portátil Gaming de 15.6'' QHD 240Hz (Intel Core i7-11800H,16GB RAM, 1TB SSD, Nvidia RTX 3060, Windows 10) Negro - Teclado QWERTY Español;1.799,98;15.6;SSD;4.9;1;4.4
"ASUS ROG Strix G15 G513QR-HF118 - Portátil Gaming de 15.6"" Full HD 300Hz (Ryzen 7 5800H, 32GB RAM, 1TB SSD, NVIDIA RTX 3070 8GB, Sin Sistema operativo) Color Gris - Teclado QWERTY español";2.099,00;15.6;SSD;3.2;3;4.2
"Acer Aspire 5 A515-57 - Ordenador Portátil 15.6"" Full HD LED IPS (Intel Core i7-1255U, 16GB RAM, 1TB SSD, Intel Iris Xe Graphics, Sin SO) Plata - Teclado QWERTY Español";749;15.6;SSD;3.5;1;4.1
"Acer Predator Triton 300PT315-53 Ordenador Portátil Gaming 15.6"" IPS Full HD 144Hz, Gaming Laptop (Intel Core i7-11800H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 3050Ti, Sin SO) PC Portátil Negro, QWERTY";949;15.6;SSD;2.3;1;5.0
HP 255 G8 27K47EA AMD R3-3250U 8GB 256GB W10 15.6;430,47;15.6;SSD;[];8;4.3
"Lenovo IdeaPad 3 Gen 6 - Ordenador Portátil 14"" FullHD (AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, AMD Radeon RX Vega 7 Graphics, Windows 11 Home) Gris - Teclado QWERTY Español";549;14;SSD;4.04;8;4.5
"Lenovo IdeaPad 3 Gen 6 - Ordenador Portátil 15.6"" FullHD (Intel Core i5-1135G7, 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home en modo S) Gris ártico - Teclado QWERTY Español";568,27;15.6;SSD;2.4;8;4.1
"ASUS VivoBook Pro 15 OLED M3500QC - Ordenador Portátil 15.6"" Full HD (Ryzen 5 5600H, 16GB RAM, 512GB SSD, NVIDIA RTX 3050-4GB, Sin Sistema Operativo) Color Plata - Teclado QWERTY español";799;15.6;SSD;3.3;1;4.6
"Lenovo IdeaPad 3 Gen 6 - Ordenador Portátil 15.6"" FHD (Intel Core i5-1155G7, 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home) Teclado QWERTY Español - Gris";679;15.6;SSD;4.5;8;4.3
Lenovo V15 - 15 FHD (Celeron N4020, 8GB RAM, 256GB SSD, Intel UHD Graphics, Windows 10 Home) Gris - Teclado QWERTY Español;305;15.6;SSD;[];8;4.3
"Lenovo IdeaPad 3 CB 14M836 Chromebook Gen 6 - Portátil 14"" FullHD (MediaTek MT8183, 4GB RAM, 32GB eMMC, Arm Mali-G72 MP3 GPU, Chrome OS) Color Gris (Arctic Grey) - Teclado QWERTY Español";169;14;eMMC;2;4;4.5
